"current_status","count","percent"
"Delivered","2008","39.98"
"InTransit","1577","31.4"
"PreTransit","1371","27.3"
"OutForDelivery","38","0.76"
"DeliveryAttemptFailed","16","0.32"
"Exception","6","0.12"
"AvailableForPickup","4","0.08"
"DeliveryException","2","0.04"
