"event_status","count","percent"
"InTransit","17820","64.63"
"PreTransit","5471","19.84"
"OutForDelivery","2214","8.03"
"Delivered","2008","7.28"
"DeliveryAttemptFailed","34","0.12"
"DeliveryException","12","0.04"
"Exception","8","0.03"
"AvailableForPickup","5","0.02"
